phenomenon,condition,framing,subsample_fraction,subsample_n,full_sample_n,full_sample_js,js_subsample_mean,js_subsample_std,js_subsample_ci_low,js_subsample_ci_high,js_delta_mean_abs,js_delta_max_abs
scalar_implicature,"Scene 1 (target=red_square, unique=red)",second_person,0.5,12,25,0.132304123589825,0.132304123589825,0.0,0.132304123589825,0.132304123589825,0.0,0.0
scalar_implicature,"Scene 1 (target=red_square, unique=red)",second_person,0.7,18,25,0.132304123589825,0.132304123589825,0.0,0.132304123589825,0.132304123589825,0.0,0.0
scalar_implicature,"Scene 1 (target=red_square, unique=red)",second_person,0.9,22,25,0.132304123589825,0.132304123589825,0.0,0.132304123589825,0.132304123589825,0.0,0.0
scalar_implicature,"Scene 1 (target=red_square, unique=red)",first_person,0.5,12,25,0.05186486389575343,0.06069964939396883,0.03971127750633842,0.018797456031484534,0.132304123589825,0.02591497468962351,0.08043925969407156
scalar_implicature,"Scene 1 (target=red_square, unique=red)",first_person,0.7,18,25,0.05186486389575343,0.05337545099282687,0.019349810992344785,0.0370330669647671,0.06706699574480637,0.01657969277895555,0.08043925969407156
scalar_implicature,"Scene 1 (target=red_square, unique=red)",first_person,0.9,22,25,0.05186486389575343,0.05358254462664087,0.014013393088654633,0.04617845794580093,0.07463219250379982,0.01031552652721561,0.08043925969407156
scalar_implicature,"Scene 1 (target=red_square, unique=red)",third_person,0.5,12,25,0.132304123589825,0.132304123589825,0.0,0.132304123589825,0.132304123589825,0.0,0.0
scalar_implicature,"Scene 1 (target=red_square, unique=red)",third_person,0.7,18,25,0.132304123589825,0.132304123589825,0.0,0.132304123589825,0.132304123589825,0.0,0.0
scalar_implicature,"Scene 1 (target=red_square, unique=red)",third_person,0.9,22,25,0.132304123589825,0.132304123589825,0.0,0.132304123589825,0.132304123589825,0.0,0.0
scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",second_person,0.5,12,25,0.05186486389575342,0.06500864611367319,0.04351303202919704,0.018797456031484534,0.132304123589825,0.03125868913320774,0.08043925969407156
scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",second_person,0.7,18,25,0.05186486389575342,0.05492439175168595,0.02534662431415499,0.037033066964767096,0.132304123589825,0.019433831667741437,0.08043925969407156
scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",second_person,0.9,22,25,0.05186486389575342,0.05312728487371288,0.013781504574087378,0.04617845794580092,0.07463219250379982,0.01004223176468611,0.08043925969407156
scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",first_person,0.5,12,25,0.132304123589825,0.132304123589825,0.0,0.132304123589825,0.132304123589825,0.0,0.0
scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",first_person,0.7,18,25,0.132304123589825,0.132304123589825,0.0,0.132304123589825,0.132304123589825,0.0,0.0
scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",first_person,0.9,22,25,0.132304123589825,0.132304123589825,0.0,0.132304123589825,0.132304123589825,0.0,0.0
scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",third_person,0.5,12,25,0.132304123589825,0.132304123589825,0.0,0.132304123589825,0.132304123589825,0.0,0.0
scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",third_person,0.7,18,25,0.132304123589825,0.132304123589825,0.0,0.132304123589825,0.132304123589825,0.0,0.0
scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",third_person,0.9,22,25,0.132304123589825,0.132304123589825,0.0,0.132304123589825,0.132304123589825,0.0,0.0
scalar_implicature,"Scene 3 (two-object, target=red_square, unique=red)",second_person,0.5,12,25,0.13230412360158703,0.132304123601587,2.781125385737529e-17,0.13230412360158703,0.13230412360158703,0.0,0.0
