model,phenomenon,condition,framing,subsample_fraction,subsample_n,full_sample_n,full_sample_js,js_subsample_mean,js_subsample_std,js_subsample_ci_low,js_subsample_ci_high,js_delta_mean_abs,js_delta_max_abs
meta-llama/Llama-3.1-8B,scalar_implicature,"Scene 1 (target=red_square, unique=red)",second_person,0.5,12,25,0.13230412358982496,0.132304123589825,2.77694638204588e-17,0.13230412358982496,0.13230412358982496,0.0,0.0
meta-llama/Llama-3.1-8B,scalar_implicature,"Scene 1 (target=red_square, unique=red)",second_person,0.7,18,25,0.13230412358982496,0.132304123589825,2.77694638204588e-17,0.13230412358982496,0.13230412358982496,0.0,0.0
meta-llama/Llama-3.1-8B,scalar_implicature,"Scene 1 (target=red_square, unique=red)",second_person,0.9,22,25,0.13230412358982496,0.132304123589825,2.77694638204588e-17,0.13230412358982496,0.13230412358982496,0.0,0.0
meta-llama/Llama-3.1-8B,scalar_implicature,"Scene 1 (target=red_square, unique=red)",first_person,0.5,12,25,0.02055136169099428,0.0284297047253716,0.028950161311472156,8.422384637393286e-12,0.13230412358982496,0.018812492683510457,0.11175276189883068
meta-llama/Llama-3.1-8B,scalar_implicature,"Scene 1 (target=red_square, unique=red)",first_person,0.7,18,25,0.02055136169099428,0.02319481861473345,0.014812811276485635,0.007732062601846388,0.06706699574480635,0.009928284167122733,0.11175276189883068
meta-llama/Llama-3.1-8B,scalar_implicature,"Scene 1 (target=red_square, unique=red)",first_person,0.9,22,25,0.02055136169099428,0.021492930683852576,0.008820981370793997,0.015179191401361418,0.046178457945800944,0.007216263891149476,0.05408083081280558
meta-llama/Llama-3.1-8B,scalar_implicature,"Scene 1 (target=red_square, unique=red)",third_person,0.5,12,25,0.13230412358982496,0.132304123589825,2.77694638204588e-17,0.13230412358982496,0.13230412358982496,0.0,0.0
meta-llama/Llama-3.1-8B,scalar_implicature,"Scene 1 (target=red_square, unique=red)",third_person,0.7,18,25,0.13230412358982496,0.132304123589825,2.77694638204588e-17,0.13230412358982496,0.13230412358982496,0.0,0.0
meta-llama/Llama-3.1-8B,scalar_implicature,"Scene 1 (target=red_square, unique=red)",third_person,0.9,22,25,0.13230412358982496,0.132304123589825,2.77694638204588e-17,0.13230412358982496,0.13230412358982496,0.0,0.0
meta-llama/Llama-3.1-8B,scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",second_person,0.5,12,25,0.07912417772238418,0.0950497995635171,0.040957977741543646,0.050064997703935556,0.13230412358982496,0.04225323893784734,0.05317994586744078
meta-llama/Llama-3.1-8B,scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",second_person,0.7,18,25,0.07912417772238418,0.08363722621744107,0.028411774579973806,0.06706699574480635,0.13230412358982496,0.022502364005603022,0.05317994586744078
meta-llama/Llama-3.1-8B,scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",second_person,0.9,22,25,0.07912417772238418,0.08230255933824118,0.019593729975680884,0.07463219250379986,0.13230412358982496,0.010967483984882228,0.05317994586744078
meta-llama/Llama-3.1-8B,scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",first_person,0.5,12,25,0.03349758092348207,0.04434412496031199,0.03673136390476674,0.004212595048775816,0.13230412358982496,0.027112612802216864,0.0988065426663429
meta-llama/Llama-3.1-8B,scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",first_person,0.7,18,25,0.03349758092348207,0.0361133602203131,0.01940554131404165,0.01879745603148457,0.06706699574480635,0.013640872965829144,0.0988065426663429
meta-llama/Llama-3.1-8B,scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",first_person,0.9,22,25,0.03349758092348207,0.034717400715958704,0.011126601634295056,0.02765813349116293,0.07463219250379986,0.009021321562055012,0.041134611580317795
meta-llama/Llama-3.1-8B,scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",third_person,0.5,12,25,0.13230412358982496,0.132304123589825,2.77694638204588e-17,0.13230412358982496,0.13230412358982496,0.0,0.0
meta-llama/Llama-3.1-8B,scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",third_person,0.7,18,25,0.13230412358982496,0.132304123589825,2.77694638204588e-17,0.13230412358982496,0.13230412358982496,0.0,0.0
meta-llama/Llama-3.1-8B,scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",third_person,0.9,22,25,0.13230412358982496,0.132304123589825,2.77694638204588e-17,0.13230412358982496,0.13230412358982496,0.0,0.0
meta-llama/Llama-3.1-8B,scalar_implicature,"Scene 3 (two-object, target=red_square, unique=red)",second_person,0.5,12,25,0.1323041236015871,0.13230412360158714,2.77694638204588e-17,0.1323041236015871,0.1323041236015871,0.0,0.0
meta-llama/Llama-3.1-8B,scalar_implicature,"Scene 3 (two-object, target=red_square, unique=red)",second_person,0.7,18,25,0.1323041236015871,0.13230412360158714,2.77694638204588e-17,0.1323041236015871,0.1323041236015871,0.0,0.0
meta-llama/Llama-3.1-8B,scalar_implicature,"Scene 3 (two-object, target=red_square, unique=red)",second_person,0.9,22,25,0.1323041236015871,0.13230412360158714,2.77694638204588e-17,0.1323041236015871,0.1323041236015871,0.0,0.0
meta-llama/Llama-3.1-8B,scalar_implicature,"Scene 3 (two-object, target=red_square, unique=red)",first_person,0.5,12,25,0.07912417772810887,0.08986873463953346,0.0411190690160758,0.05006499770613425,0.1323041236015871,0.040733630694102366,0.05317994587347824
meta-llama/Llama-3.1-8B,scalar_implicature,"Scene 3 (two-object, target=red_square, unique=red)",first_person,0.7,18,25,0.07912417772810887,0.08598576282631083,0.02961694518934556,0.06706699574908533,0.1323041236015871,0.023982783508415408,0.05317994587347824
meta-llama/Llama-3.1-8B,scalar_implicature,"Scene 3 (two-object, target=red_square, unique=red)",first_person,0.9,22,25,0.07912417772810887,0.08109144879135985,0.018196893098092512,0.07463219250898886,0.1323041236015871,0.009945036812408126,0.05317994587347824
meta-llama/Llama-3.1-8B,scalar_implicature,"Scene 3 (two-object, target=red_square, unique=red)",third_person,0.5,12,25,0.1323041236015871,0.13230412360158714,2.77694638204588e-17,0.1323041236015871,0.1323041236015871,0.0,0.0
meta-llama/Llama-3.1-8B,scalar_implicature,"Scene 3 (two-object, target=red_square, unique=red)",third_person,0.7,18,25,0.1323041236015871,0.13230412360158714,2.77694638204588e-17,0.1323041236015871,0.1323041236015871,0.0,0.0
meta-llama/Llama-3.1-8B,scalar_implicature,"Scene 3 (two-object, target=red_square, unique=red)",third_person,0.9,22,25,0.1323041236015871,0.13230412360158714,2.77694638204588e-17,0.1323041236015871,0.1323041236015871,0.0,0.0
meta-llama/Llama-3.1-8B,scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",second_person,0.5,12,25,0.2157615531481544,0.21576155314815446,5.55389276409176e-17,0.2157615531481544,0.2157615531481544,0.0,0.0
meta-llama/Llama-3.1-8B,scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",second_person,0.7,18,25,0.2157615531481544,0.21576155314815446,5.55389276409176e-17,0.2157615531481544,0.2157615531481544,0.0,0.0
meta-llama/Llama-3.1-8B,scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",second_person,0.9,22,25,0.2157615531481544,0.21576155314815446,5.55389276409176e-17,0.2157615531481544,0.2157615531481544,0.0,0.0
meta-llama/Llama-3.1-8B,scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",first_person,0.5,12,25,0.06777010569003353,0.07849752382726627,0.046187852734778004,0.014362591562812997,0.2157615531481544,0.031825089585209285,0.14799144745812087
meta-llama/Llama-3.1-8B,scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",first_person,0.7,18,25,0.06777010569003353,0.07074050307758212,0.02458153715346642,0.04262812047640139,0.13698907829764304,0.01777442286759743,0.14799144745812087
meta-llama/Llama-3.1-8B,scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",first_person,0.9,22,25,0.06777010569003353,0.06866106335504216,0.014133322723633126,0.057993385118006904,0.10807197247573852,0.012271060410847613,0.07915522262717511
meta-llama/Llama-3.1-8B,scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",third_person,0.5,12,25,0.03647956199734652,0.044666074957876924,0.03173378225768675,0.003500705087369261,0.1324877605310047,0.023150751272379543,0.19678336433318938
meta-llama/Llama-3.1-8B,scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",third_person,0.7,18,25,0.03647956199734652,0.039245245917305056,0.01721884431595722,0.014362591562812997,0.07807593190790445,0.013584988067937896,0.07074955687750215
meta-llama/Llama-3.1-8B,scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",third_person,0.9,22,25,0.03647956199734652,0.0371728600187369,0.010314282802667336,0.017206690347430015,0.052540137593581684,0.008186527157909507,0.032599912218434265
meta-llama/Llama-3.1-8B,polite_speech,state_1,second_person,0.5,12,25,0.66161200783595,0.6635225357147214,0.002328591953559352,0.6607184386568847,0.6671384166139471,0.0022971725321875402,0.015214292196474188
meta-llama/Llama-3.1-8B,polite_speech,state_1,second_person,0.7,18,25,0.66161200783595,0.6624024244191306,0.0015620383166899867,0.6609251576362472,0.6656182722503109,0.0011409989855818577,0.0048759198831401784
