,,,,full_sample_js,full_sample_js,js_subsample_mean,js_subsample_mean,js_subsample_std,js_subsample_std,js_delta_mean_abs,js_delta_mean_abs,js_delta_max_abs,js_delta_max_abs
,,,,mean,std,mean,std,mean,std,mean,std,mean,std
model,phenomenon,framing,subsample_fraction,,,,,,,,,,
meta-llama/Llama-3.1-8B,polite_speech,first_person,0.5,0.2572,0.1747,0.2596,0.1738,0.0119,0.0215,0.0084,0.0144,0.0245,0.0406
meta-llama/Llama-3.1-8B,polite_speech,first_person,0.7,0.2572,0.1747,0.2584,0.1742,0.0076,0.0142,0.0062,0.0112,0.021,0.0417
meta-llama/Llama-3.1-8B,polite_speech,first_person,0.9,0.2572,0.1747,0.2578,0.1745,0.0044,0.0084,0.0033,0.006,0.0207,0.0418
meta-llama/Llama-3.1-8B,polite_speech,second_person,0.5,0.3577,0.2883,0.3613,0.2869,0.0104,0.0215,0.0105,0.022,0.0164,0.0256
meta-llama/Llama-3.1-8B,polite_speech,second_person,0.7,0.3577,0.2883,0.3594,0.2875,0.0073,0.0153,0.006,0.0127,0.0143,0.0261
meta-llama/Llama-3.1-8B,polite_speech,second_person,0.9,0.3577,0.2883,0.3583,0.2881,0.0045,0.0094,0.0025,0.0053,0.0131,0.0267
meta-llama/Llama-3.1-8B,polite_speech,third_person,0.5,0.2815,0.172,0.2938,0.1748,0.0389,0.0333,0.0332,0.0285,0.1204,0.1111
meta-llama/Llama-3.1-8B,polite_speech,third_person,0.7,0.2815,0.172,0.2857,0.1719,0.024,0.0204,0.0185,0.0161,0.0841,0.0716
meta-llama/Llama-3.1-8B,polite_speech,third_person,0.9,0.2815,0.172,0.2835,0.1722,0.0142,0.0121,0.0113,0.0099,0.0614,0.0686
meta-llama/Llama-3.1-8B,scalar_implicature,first_person,0.5,0.0502,0.0277,0.0603,0.0287,0.0382,0.0073,0.0296,0.0092,0.1029,0.0392
meta-llama/Llama-3.1-8B,scalar_implicature,first_person,0.7,0.0502,0.0277,0.054,0.0293,0.0221,0.0064,0.0163,0.006,0.1029,0.0392
meta-llama/Llama-3.1-8B,scalar_implicature,first_person,0.9,0.0502,0.0277,0.0515,0.028,0.0131,0.0041,0.0096,0.0021,0.0569,0.016
meta-llama/Llama-3.1-8B,scalar_implicature,second_person,0.5,0.1399,0.0565,0.1439,0.0511,0.0102,0.0205,0.0106,0.0211,0.0133,0.0266
meta-llama/Llama-3.1-8B,scalar_implicature,second_person,0.7,0.1399,0.0565,0.141,0.0549,0.0071,0.0142,0.0056,0.0113,0.0133,0.0266
meta-llama/Llama-3.1-8B,scalar_implicature,second_person,0.9,0.1399,0.0565,0.1407,0.0553,0.0049,0.0098,0.0027,0.0055,0.0133,0.0266
meta-llama/Llama-3.1-8B,scalar_implicature,third_person,0.5,0.1083,0.0479,0.1104,0.0438,0.0079,0.0159,0.0058,0.0116,0.0492,0.0984
meta-llama/Llama-3.1-8B,scalar_implicature,third_person,0.7,0.1083,0.0479,0.109,0.0465,0.0043,0.0086,0.0034,0.0068,0.0177,0.0354
meta-llama/Llama-3.1-8B,scalar_implicature,third_person,0.9,0.1083,0.0479,0.1085,0.0476,0.0026,0.0052,0.002,0.0041,0.0081,0.0163
