omega_i,alpha,mean_js
0.0,1.0,0.3934266564700347
0.0,3.0,0.4635691713968584
0.0,5.0,0.5235567490848456
0.1,1.0,0.3754376754358993
0.1,3.0,0.40449036171184444
0.1,5.0,0.4391495395210113
0.2,1.0,0.3599538339295833
0.2,3.0,0.3554986919960935
0.2,5.0,0.3588436959796751
0.3,1.0,0.3484039892091683
0.3,3.0,0.32633304573995975
0.3,5.0,0.3286845127045469
0.4,1.0,0.34233166546794097
0.4,3.0,0.30446006543183857
0.4,5.0,0.3014249142680535
0.5,1.0,0.34246072760954116
0.5,3.0,0.2988011524509289
0.5,5.0,0.28443478795889693
0.6,1.0,0.3476344481588919
0.6,3.0,0.306077206585651
0.6,5.0,0.2949196047891785
0.7,1.0,0.3554283525514743
0.7,3.0,0.31583223249600645
0.7,5.0,0.3057368465489694
0.8,1.0,0.3638059621179907
0.8,3.0,0.3272506081033498
0.8,5.0,0.31741503991164915
0.9,1.0,0.37182476033963996
0.9,3.0,0.3405002338883507
0.9,5.0,0.33209849856434315
1.0,1.0,0.3793262440801647
1.0,3.0,0.35557629361350257
1.0,5.0,0.35118998430023385
