model,phenomenon,condition,framing,js_divergence,js_distance,kl_rsa_llm,kl_llm_rsa,spearman_rho,spearman_p,n_matched,js_boot_mean,js_ci_low,js_ci_high,js_boot_std,llm_ci_low,llm_ci_high
meta-llama/Llama-3.1-70B,scalar_implicature,"Scene 1 (target=red_square, unique=red)",second_person,0.0791,0.2813,0.4637,0.2652,1.0,0.0,25,0.0889,0.0335,0.1323,0.0349,"[np.float64(0.0), np.float64(0.0), np.float64(0.88), np.float64(0.0)]","[np.float64(0.0), np.float64(0.12), np.float64(1.0), np.float64(0.0)]"
meta-llama/Llama-3.1-70B,scalar_implicature,"Scene 1 (target=red_square, unique=red)",first_person,0.1427,0.3777,7.066,1.1219,0.5,0.5,25,0.1427,0.1323,0.1645,0.0103,"[np.float64(0.0), np.float64(0.0), np.float64(0.88), np.float64(0.0)]","[np.float64(0.12), np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
meta-llama/Llama-3.1-70B,scalar_implicature,"Scene 1 (target=red_square, unique=red)",third_person,0.1323,0.3637,7.0388,0.4055,0.8165,0.1835,25,0.1323,0.1323,0.1323,0.0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
meta-llama/Llama-3.1-70B,scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",second_person,0.0791,0.2813,0.4637,0.2652,1.0,0.0,25,0.0897,0.0335,0.1323,0.0353,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.88)]","[np.float64(0.12), np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
meta-llama/Llama-3.1-70B,scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",first_person,0.0791,0.2813,0.4637,0.2652,1.0,0.0,25,0.0889,0.0335,0.1323,0.0352,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.88)]","[np.float64(0.12), np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
meta-llama/Llama-3.1-70B,scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",third_person,0.1323,0.3637,7.0388,0.4055,0.8165,0.1835,25,0.1323,0.1323,0.1323,0.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(1.0)]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
meta-llama/Llama-3.1-70B,scalar_implicature,"Scene 3 (two-object, target=red_square, unique=red)",second_person,0.1323,0.3637,7.0388,0.4055,0.866,0.3333,25,0.1323,0.1323,0.1323,0.0,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]","[np.float64(1.0), np.float64(0.0), np.float64(0.0)]"
meta-llama/Llama-3.1-70B,scalar_implicature,"Scene 3 (two-object, target=red_square, unique=red)",first_person,0.1323,0.3637,7.0388,0.4055,0.866,0.3333,25,0.1323,0.1323,0.1323,0.0,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]","[np.float64(1.0), np.float64(0.0), np.float64(0.0)]"
meta-llama/Llama-3.1-70B,scalar_implicature,"Scene 3 (two-object, target=red_square, unique=red)",third_person,0.1323,0.3637,7.0388,0.4055,0.866,0.3333,25,0.1323,0.1323,0.1323,0.0,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]","[np.float64(1.0), np.float64(0.0), np.float64(0.0)]"
meta-llama/Llama-3.1-70B,scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",second_person,0.1527,0.3908,0.9367,0.5252,0.9428,0.0572,25,0.1646,0.0891,0.2158,0.0445,"[np.float64(0.88), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(1.0), np.float64(0.12), np.float64(0.0), np.float64(0.0)]"
meta-llama/Llama-3.1-70B,scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",first_person,0.0606,0.2461,0.2488,0.9068,0.8944,0.1056,25,0.0673,0.0169,0.1527,0.035,"[np.float64(0.6), np.float64(0.04), np.float64(0.0), np.float64(0.0)]","[np.float64(0.92), np.float64(0.36), np.float64(0.0), np.float64(0.12)]"
meta-llama/Llama-3.1-70B,scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",third_person,0.0678,0.2603,0.3103,0.2535,0.9428,0.0572,25,0.0762,0.0169,0.1527,0.0388,"[np.float64(0.68), np.float64(0.04), np.float64(0.0), np.float64(0.0)]","[np.float64(0.96), np.float64(0.32), np.float64(0.0), np.float64(0.0)]"
meta-llama/Llama-3.1-70B,polite_speech,state_1,second_person,0.6046,0.7775,15.8675,4.3183,-0.2881,0.4889,25,0.6152,0.5432,0.6653,0.041,"[np.float64(0.0), np.float64(0.0), np.float64(0.16), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.44), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0), np.float64(0.52), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.84), np.float64(0.12)]"
