model,phenomenon,condition,framing,js_divergence,js_distance,kl_rsa_llm,kl_llm_rsa,spearman_rho,spearman_p,n_matched,js_boot_mean,js_ci_low,js_ci_high,js_boot_std,llm_ci_low,llm_ci_high
meta-llama/Llama-3.1-70B,polite_speech,state_1,first_person,0.3655,0.6045,15.1978,1.4161,-0.0314,0.9412,25,0.3663,0.3593,0.3815,0.0064,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.8)]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.2), np.float64(0.0), np.float64(1.0)]"
meta-llama/Llama-3.1-70B,polite_speech,state_1,third_person,0.3912,0.6254,15.0897,2.1394,-0.3597,0.3815,25,0.3968,0.3701,0.4311,0.0161,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.12), np.float64(0.0), np.float64(0.44)]","[np.float64(0.0), np.float64(0.0), np.float64(0.12), np.float64(0.0), np.float64(0.0), np.float64(0.44), np.float64(0.12), np.float64(0.8)]"
meta-llama/Llama-3.1-70B,polite_speech,state_2,second_person,0.679,0.824,21.9865,5.6039,-0.7821,0.0218,25,0.6793,0.6785,0.6804,0.0007,"[np.float64(0.0), np.float64(0.0), np.float64(0.64), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.04), np.float64(0.0)]","[np.float64(0.12), np.float64(0.0), np.float64(0.92), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.32), np.float64(0.0)]"
meta-llama/Llama-3.1-70B,polite_speech,state_2,first_person,0.5008,0.7077,19.294,2.1142,0.1333,0.753,25,0.5022,0.5008,0.5044,0.0013,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.88)]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.12), np.float64(1.0)]"
meta-llama/Llama-3.1-70B,polite_speech,state_2,third_person,0.5492,0.7411,7.2868,4.79,-0.2058,0.6249,25,0.5575,0.4389,0.6791,0.0652,"[np.float64(0.0), np.float64(0.0), np.float64(0.12), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.44), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0), np.float64(0.48), np.float64(0.0), np.float64(0.0), np.float64(0.2), np.float64(0.8), np.float64(0.0)]"
meta-llama/Llama-3.1-70B,polite_speech,state_3,second_person,0.2021,0.4495,3.9848,0.7029,0.7527,0.0312,25,0.2119,0.1421,0.2629,0.0419,"[np.float64(0.0), np.float64(0.0), np.float64(0.88), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.12), np.float64(0.0)]"
meta-llama/Llama-3.1-70B,polite_speech,state_3,first_person,0.2629,0.5127,12.2587,0.8709,0.4978,0.2093,25,0.2629,0.2629,0.2629,0.0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
meta-llama/Llama-3.1-70B,polite_speech,state_3,third_person,0.2021,0.4495,3.9848,0.7029,0.7527,0.0312,25,0.2122,0.1421,0.2629,0.0425,"[np.float64(0.0), np.float64(0.0), np.float64(0.88), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.12), np.float64(0.0)]"
meta-llama/Llama-3.1-70B,polite_speech,state_4,second_person,0.1566,0.3957,7.7989,0.4861,0.5808,0.1311,25,0.1566,0.1566,0.1566,0.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
meta-llama/Llama-3.1-70B,polite_speech,state_4,first_person,0.1566,0.3957,7.7989,0.4861,0.5808,0.1311,25,0.1566,0.1566,0.1566,0.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
meta-llama/Llama-3.1-70B,polite_speech,state_4,third_person,0.1157,0.3402,4.5557,0.3708,0.7135,0.0469,25,0.1256,0.0898,0.1566,0.025,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.88), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.12), np.float64(0.0)]"
meta-llama/Llama-3.1-70B,polite_speech,state_5,second_person,0.0891,0.2985,4.6107,0.2673,0.5808,0.1311,25,0.0891,0.0891,0.0891,0.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
meta-llama/Llama-3.1-70B,polite_speech,state_5,first_person,0.0891,0.2985,4.6107,0.2673,0.5808,0.1311,25,0.0891,0.0891,0.0891,0.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
meta-llama/Llama-3.1-70B,polite_speech,state_5,third_person,0.0673,0.2594,1.8018,0.2605,0.7683,0.0259,25,0.0704,0.0336,0.135,0.0263,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.2), np.float64(0.4), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.6), np.float64(0.8), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
