model,phenomenon,condition,framing,subsample_fraction,subsample_n,full_sample_n,full_sample_js,js_subsample_mean,js_subsample_std,js_subsample_ci_low,js_subsample_ci_high,js_delta_mean_abs,js_delta_max_abs
meta-llama/Llama-3.1-70B,scalar_implicature,"Scene 3 (two-object, target=red_square, unique=red)",third_person,0.9,22,25,0.1323041236015871,0.13230412360158714,2.77694638204588e-17,0.1323041236015871,0.1323041236015871,0.0,0.0
meta-llama/Llama-3.1-70B,scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",second_person,0.5,12,25,0.15271317585105476,0.16684804493274086,0.051038414378149974,0.11364566960866887,0.2157615531481544,0.051561540061891745,0.06304837729709964
meta-llama/Llama-3.1-70B,scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",second_person,0.7,18,25,0.15271317585105476,0.15794255660787906,0.03482415557824783,0.13698907829764304,0.2157615531481544,0.028312355965232718,0.06304837729709964
meta-llama/Llama-3.1-70B,scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",second_person,0.9,22,25,0.15271317585105476,0.15566752887073876,0.022932071258263374,0.14692532831720864,0.2157615531481544,0.013059934813779314,0.06304837729709964
meta-llama/Llama-3.1-70B,scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",first_person,0.5,12,25,0.06057964220606158,0.06877429291486342,0.0410029372246253,0.014362591562812997,0.1324877605310047,0.029392883184620498,0.17268328412447434
meta-llama/Llama-3.1-70B,scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",first_person,0.7,18,25,0.06057964220606158,0.062217145958752315,0.021172723353775406,0.026253764237068693,0.10722911887484866,0.016426658022426387,0.08850407539287944
meta-llama/Llama-3.1-70B,scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",first_person,0.9,22,25,0.06057964220606158,0.06100096248863443,0.012951491609355251,0.040928238992858475,0.09037087946885157,0.010862439091529886,0.057659988248200685
meta-llama/Llama-3.1-70B,scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",third_person,0.5,12,25,0.06777010569003353,0.07743370480693937,0.04829558100679794,0.014362591562812997,0.2157615531481544,0.033054744696771624,0.14799144745812087
meta-llama/Llama-3.1-70B,scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",third_person,0.7,18,25,0.06777010569003353,0.07105798535340216,0.0256008370681042,0.04262812047640139,0.13698907829764304,0.018627411737373555,0.14799144745812087
meta-llama/Llama-3.1-70B,scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",third_person,0.9,22,25,0.06777010569003353,0.06895025280368056,0.01404484652515779,0.057993385118006904,0.10807197247573852,0.012208287918893055,0.07915522262717511
meta-llama/Llama-3.1-70B,polite_speech,state_1,second_person,0.5,12,25,0.6045505943096445,0.6176686179227443,0.048483080658169635,0.5671647880892517,0.6656182722503109,0.04884923365569285,0.07227570572277964
meta-llama/Llama-3.1-70B,polite_speech,state_1,second_person,0.7,18,25,0.6045505943096445,0.6115614375195991,0.03399070748298195,0.5894762623020926,0.6646741629220875,0.027977040286329084,0.061067677940666365
meta-llama/Llama-3.1-70B,polite_speech,state_1,second_person,0.9,22,25,0.6045505943096445,0.6070844919085377,0.021389830378937096,0.5989374717475633,0.6644726763169677,0.012078172041651687,0.06015286273726661
meta-llama/Llama-3.1-70B,polite_speech,state_1,first_person,0.5,12,25,0.365476951773935,0.3667087879254361,0.006183623728885964,0.35934276224064765,0.37678126479609975,0.004446151466943553,0.011304313022164725
meta-llama/Llama-3.1-70B,polite_speech,state_1,first_person,0.7,18,25,0.365476951773935,0.3659671579609018,0.0036739787251304475,0.35934276224064765,0.3693650728716419,0.0036156496922117053,0.006134189533287371
meta-llama/Llama-3.1-70B,polite_speech,state_1,first_person,0.9,22,25,0.365476951773935,0.3657635868095889,0.002161880140097544,0.361462221371978,0.36681592715858624,0.0018744712351732172,0.006134189533287371
meta-llama/Llama-3.1-70B,polite_speech,state_1,third_person,0.5,12,25,0.3911651049444314,0.400015056967292,0.017014446927350116,0.3700194943035103,0.4347117969375682,0.01494209402424755,0.0664925368464237
meta-llama/Llama-3.1-70B,polite_speech,state_1,third_person,0.7,18,25,0.3911651049444314,0.39485142823608077,0.010094101884559848,0.3759283599471761,0.41425584789925196,0.008822941233516214,0.0312849563396882
meta-llama/Llama-3.1-70B,polite_speech,state_1,third_person,0.9,22,25,0.3911651049444314,0.3927555754259181,0.005832982668037129,0.38338880601995834,0.39955265387191263,0.00438581395860018,0.015128848655721339
meta-llama/Llama-3.1-70B,polite_speech,state_2,second_person,0.5,12,25,0.6789784962590562,0.6795081800878893,0.0012296080343029826,0.6786298310550357,0.6847099886272594,0.0006295315938706937,0.006171695976235014
meta-llama/Llama-3.1-70B,polite_speech,state_2,second_person,0.7,18,25,0.6789784962590562,0.6791850537451967,0.0005227204996304998,0.6787015557416883,0.6800132892303599,0.000323660679199271,0.006171695976235014
meta-llama/Llama-3.1-70B,polite_speech,state_2,second_person,0.9,22,25,0.6789784962590562,0.679045840062676,0.000217081812982243,0.6788650621223522,0.6795555661787118,0.00018168541341768174,0.0012453923268900269
meta-llama/Llama-3.1-70B,polite_speech,state_2,first_person,0.5,12,25,0.5007714128334714,0.5027230318874277,0.00015273877386739375,0.5025609176902727,0.5028667935339612,0.0019516190539562383,0.0020953807004898684
meta-llama/Llama-3.1-70B,polite_speech,state_2,first_person,0.7,18,25,0.5007714128334714,0.5017728769923218,0.0006960776549058046,0.501330393896827,0.5028667935339612,0.001001464158850278,0.0020953807004898684
meta-llama/Llama-3.1-70B,polite_speech,state_2,first_person,0.9,22,25,0.5007714128334714,0.5011609075586713,0.0005969550789381435,0.500952218926453,0.5028667935339612,0.0003894947252000509,0.0020953807004898684
meta-llama/Llama-3.1-70B,polite_speech,state_2,third_person,0.5,12,25,0.5492035538352578,0.5660351725100907,0.0772973378847419,0.4652171587249244,0.6793712987739949,0.05635879214771104,0.13083408712151212
meta-llama/Llama-3.1-70B,polite_speech,state_2,third_person,0.7,18,25,0.5492035538352578,0.5530354530566597,0.04502668945703261,0.5157993226852492,0.6789596896922672,0.03814417360398991,0.12992307826166893
meta-llama/Llama-3.1-70B,polite_speech,state_2,third_person,0.9,22,25,0.5492035538352578,0.5511679014484692,0.02624515286942936,0.5369285748954934,0.5930491507024003,0.020467312433867634,0.12976888886478777
meta-llama/Llama-3.1-70B,polite_speech,state_3,second_person,0.5,12,25,0.20209288865128666,0.21762679330148546,0.04874443125807107,0.16515759857016887,0.2628655962076299,0.04973598326531385,0.06077270755634323
meta-llama/Llama-3.1-70B,polite_speech,state_3,second_person,0.7,18,25,0.20209288865128666,0.20980409486222962,0.03467155939447296,0.18717158572917006,0.2628655962076299,0.02863087290775036,0.06077270755634323
meta-llama/Llama-3.1-70B,polite_speech,state_3,second_person,0.9,22,25,0.20209288865128666,0.20441184929973213,0.02139125780455618,0.19659150674289322,0.2628655962076299,0.012023398334851517,0.06077270755634323
meta-llama/Llama-3.1-70B,polite_speech,state_3,first_person,0.5,12,25,0.2628655962076299,0.26286559620763,1.110778552818352e-16,0.2628655962076299,0.2628655962076299,0.0,0.0
meta-llama/Llama-3.1-70B,polite_speech,state_3,first_person,0.7,18,25,0.2628655962076299,0.26286559620763,1.110778552818352e-16,0.2628655962076299,0.2628655962076299,0.0,0.0
