model,phenomenon,condition,framing,subsample_fraction,subsample_n,full_sample_n,full_sample_js,js_subsample_mean,js_subsample_std,js_subsample_ci_low,js_subsample_ci_high,js_delta_mean_abs,js_delta_max_abs
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 3 (two-object, target=red_square, unique=red)",third_person,0.7,18,25,0.1323041236015871,0.13230412360158714,2.77694638204588e-17,0.1323041236015871,0.1323041236015871,0.0,0.0
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 3 (two-object, target=red_square, unique=red)",third_person,0.9,22,25,0.1323041236015871,0.13230412360158714,2.77694638204588e-17,0.1323041236015871,0.1323041236015871,0.0,0.0
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",second_person,0.5,12,25,0.2157615531481544,0.21576155314815446,5.55389276409176e-17,0.2157615531481544,0.2157615531481544,0.0,0.0
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",second_person,0.7,18,25,0.2157615531481544,0.21576155314815446,5.55389276409176e-17,0.2157615531481544,0.2157615531481544,0.0,0.0
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",second_person,0.9,22,25,0.2157615531481544,0.21576155314815446,5.55389276409176e-17,0.2157615531481544,0.2157615531481544,0.0,0.0
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",first_person,0.5,12,25,0.025697837838791326,0.032578471129444266,0.02830113079676846,0.003500705087369261,0.11364566960866887,0.020372704593020406,0.19006371530936308
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",first_person,0.7,18,25,0.025697837838791326,0.027143804707265167,0.014489810489997248,0.006263747489294275,0.06465997354270904,0.01045941156310526,0.06881080617074775
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",first_person,0.9,22,25,0.025697837838791326,0.0259273584010888,0.008774449262338776,0.017206690347430015,0.040928238992858475,0.006767704130645682,0.032295547279215575
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",third_person,0.5,12,25,0.036842126342192534,0.04605101169640406,0.03867566547769074,0.003500705087369261,0.11364566960866887,0.025657288820631088,0.17891942680596187
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",third_person,0.7,18,25,0.036842126342192534,0.03965336573861516,0.018067470730187697,0.014362591562812997,0.06540619030437911,0.014504295207540334,0.10014695195545051
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",third_person,0.9,22,25,0.036842126342192534,0.03787977568344112,0.01095586083025538,0.027543774678777926,0.057993385118006904,0.008959844958477825,0.042922086149100834
deepseek-ai/DeepSeek-V3.1,polite_speech,state_1,second_person,0.5,12,25,0.6623641721272413,0.6642317076047893,0.003920755027862277,0.6608992641703548,0.6730135575548919,0.002524368183250113,0.014462127905182864
deepseek-ai/DeepSeek-V3.1,polite_speech,state_1,second_person,0.7,18,25,0.6623641721272413,0.6627459597454686,0.0015289047327109514,0.661596463939861,0.6656400136370304,0.0008148268351654885,0.010496214118010272
deepseek-ai/DeepSeek-V3.1,polite_speech,state_1,second_person,0.9,22,25,0.6623641721272413,0.6624610578155632,0.0005254235083306846,0.6620479895979543,0.6635229004157837,0.0004168992899929591,0.003675668711628277
deepseek-ai/DeepSeek-V3.1,polite_speech,state_1,first_person,0.5,12,25,0.37051296694080316,0.3714688074269953,0.008427237337396306,0.35934276224064765,0.3889550671047065,0.0073983699113412,0.018442100163903352
deepseek-ai/DeepSeek-V3.1,polite_speech,state_1,first_person,0.7,18,25,0.37051296694080316,0.3709620834198846,0.005028579340999082,0.36259304445306023,0.37678126479609975,0.004114204359574554,0.011170204700155506
deepseek-ai/DeepSeek-V3.1,polite_speech,state_1,first_person,0.9,22,25,0.37051296694080316,0.370852362436191,0.0029609192335625875,0.36681592715858624,0.3726655398221863,0.0027258682877018747,0.00905074556882518
